type,sequence
train,3-4
train,3-4
train,3-4
train,3-5-4
train,6-5-3-6-4
train,3-4
train,0-2-3-5-6-9-9-16-4
train,1-15-3-4
train,3-4
validation,3-4
test,3-5-6-4
train,3-27-16-4
train,36-17-5-6-18
train,0-2-0-2-0-2-3-5-6-0-2-0-2-0-4
train,2-5-0-6-2-5-3-4
train,3-0-4
train,1-1-3-4
train,3-4
train,5-11-11-6-3-5-11-11-11-11-11-11-11-11-6-4
train,17-5-11-11-6-18
train,5-11-11-6-5-11-3-11-11-11-11-11-6-4
train,5-11-11-11-11-6-3-4
train,3-5-11-11-11-11-11-11-11-4
train,11-11-11-6-3-5-11-11-11-11-11-11-6-4
train,3-4
validation,3-4
train,5-3-11-11-11-11-6-4
validation,3-4
train,3-4
test,3-4
train,3-4
validation,3-4
train,17-18
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
train,5-6-1-3-5-6-28-5-28-43-6-5-6-4
train,3-5-4
train,6-17-5-6-18
train,5-6-5-6-51-51-51-3-5-51-51-51-6-4
test,3-5-6-4
train,1-1-3-4
train,3-5-6-27-4
train,12-12-12-12-5-3-6-16-5-4
train,17-28-35-43-18
validation,1-3-4
validation,17-18
train,3-4
train,3-4
train,17-18
train,22-22-40-40-41-7-7-3-4
validation,17-18
train,3-5-4
train,6-0-2-0-3-2-0-2-0-2-4
test,17-18
train,3-5-4
train,6-3-5-6-4
train,9-9-9-9-3-4
test,17-5-18
train,6-5-6-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-5-6-5-4
train,6-3-5-4
train,6-5-3-4
validation,3-6-5-6-5-6-4
train,9-3-5-6-4
train,17-18
train,3-4
train,3-36-4
train,17-18
train,3-4
train,17-18
train,5-6-3-5-4
train,6-3-5-6-4
train,3-5-6-0-2-4
train,0-2-0-2-0-3-2-5-0-2-6-4
train,17-18
train,3-4
test,17-18
train,3-4
train,3-4
train,3-5-6-4
train,3-4
train,3-4
train,3-9-4
train,17-18
train,3-5-4
train,6-3-4
test,3-4
train,17-18
train,3-5-4
train,6-3-4
train,17-18
train,3-4
train,3-4
validation,3-4
train,17-18
train,17-18
train,3-4
train,17-18
train,3-0-2-0-2-4
train,0-2-0-2-0-2-3-5-0-6-2-0-2-0-2-0-2-4
train,3-4
train,3-27-4
train,27-5-17-6-18
train,5-6-5-0-2-6-7-7-7-7-7-7-7-7-7-7-40-40-41-0-2-0-2-0-2-5-6-5-6-5-6-5-6-5-6-5-6-16-5-3-6-5-6-5-6-5-4
train,6-5-6-0-2-0-2-0-3-2-0-5-2-4
train,6-17-18
train,0-24-25-2-5-17-18
train,1-3-5-6-4
train,3-5-6-4
train,8-3-5-6-8-8-5-6-5-8-6-4
train,3-5-6-8-4
train,8-3-4
train,14-5-3-6-4
train,17-5-18
train,6-8-8-5-6-55-55-5-6-14-5-3-6-4
train,3-4
train,3-5-6-5-6-36-5-6-5-6-5-6-5-6-4
test,3-4
train,3-4
train,3-5-6-4
train,3-4
train,3-5-6-4
train,3-5-6-5-6-8-8-8-8-8-8-5-6-5-6-5-6-5-6-4
train,40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-7-7-23-3-5-6-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,15-40-40-41-22-22-22-22-22-22-22-22-22-22-3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-4
train,8-8-28-7-14-8-8-8-8-8-8-8-8-8-8-8-8-1-1-1-1-8-5-8-6-5-3-6-4
validation,14-5-3-4
train,6-9-3-9-9-4
train,3-5-4
train,6-56-5-6-5-3-4
train,6-3-28-28-4
test,5-11-11-6-27-9-1-5-3-4
train,6-27-5-6-27-3-5-6-4
train,17-18
train,1-1-1-3-4
train,3-4
train,34-28-29-28-34-35-29-29-34-3-4
train,3-4
validation,3-4
train,3-4
train,28-28-17-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
test,40-40-41-22-7-23-35-28-3-4
train,3-4
train,35-28-35-28-35-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-28-28-35-4
train,3-4
validation,3-4
train,17-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-23-17-18
test,3-4
train,17-18
train,17-18
validation,3-4
train,3-4
train,17-18
train,3-4
train,3-36-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,3-36-36-4
test,3-4
test,3-4
train,3-4
validation,3-4
train,3-4
validation,3-4
train,3-4
train,9-3-4
test,3-4
test,3-4
train,3-36-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
test,3-4
train,3-4
validation,3-40-40-41-4
train,17-18
train,22-22-22-7-23-3-4
train,3-4
train,3-4
train,15-40-40-41-7-7-7-7-7-7-23-17-18
train,3-4
train,3-36-4
train,3-4
train,3-4
train,3-4
train,35-3-4
train,3-4
train,15-40-40-41-3-4
validation,3-4
train,3-4
train,28-3-4
train,3-4
train,3-4
train,3-4
train,15-40-40-41-3-4
train,3-4
train,3-36-36-4
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
train,3-4
train,3-4
train,3-4
train,3-4
train,22-40-40-41-22-22-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-3-4
train,3-4
test,17-18
test,3-4
validation,3-4
train,17-18
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,1-1-3-4
test,5-11-11-6-5-11-3-11-11-11-11-11-6-4
train,5-11-11-11-11-11-11-6-3-5-11-11-11-11-6-4
validation,3-4
test,5-3-11-11-11-11-6-5-11-11-4
train,11-11-6-5-11-3-11-11-11-6-4
test,3-4
train,3-4
test,3-4
train,3-4
train,5-6-5-11-3-11-6-4
test,3-4
train,3-4
test,3-4
test,3-4
validation,22-7-7-7-7-22-22-7-7-7-7-7-7-23-3-5-11-11-11-11-11-11-11-11-11-11-6-4
train,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,3-4
train,36-3-4
test,3-4
train,3-4
train,3-4
test,3-5-11-11-11-11-6-4
test,3-5-11-11-6-43-4
train,1-17-18
train,3-4
train,3-4
test,22-7-7-7-7-7-7-3-4
train,22-7-7-3-4
train,3-4
train,58-1-17-18
validation,59-1-1-1-40-40-41-59-58-45-46
train,3-4
train,52-52-47-47-47-47-47-47-47-47-47-47-47-47-47-47-47-47-47-47-1-47-47-47-47-47-47-47-47-47-1-1-47-47-47-47-47-47-47-47-47-47-47-47-47-47-47-3-4
validation,45-46
train,17-18
validation,47-47-47-3-4
train,17-18
train,1-17-18
train,40-40-41-45-46
train,40-40-41-45-60-46
train,22-40-40-41-45-46
train,22-40-40-41-7-7-23-40-40-41-40-40-41-7-7-7-7-7-7-7-45-46
train,45-46
train,45-46
train,45-46
train,1-3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
validation,17-18
train,7-7-7-7-7-7-7-23-3-4
train,17-18
train,3-4
test,3-4
validation,3-4
train,3-4
train,3-4
train,17-18
train,3-4
train,17-18
test,3-4
train,3-4
train,3-4
train,3-4
train,36-22-22-22-22-40-40-41-3-4
train,3-4
train,3-4
train,17-18
train,7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
test,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,52-52-45-46
train,47-47-47-45-46
train,45-46
test,45-46
train,45-46
train,45-46
train,1-1-17-18
train,45-46
train,1-17-18
train,61-1-1-17-18
train,61-1-61-3-4
train,17-18
train,3-5-6-4
train,17-18
validation,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
validation,3-4
train,3-4
test,3-36-4
train,3-4
train,22-3-4
train,22-22-22-22-22-22-22-22-22-22-22-3-5-6-5-6-5-6-5-6-5-6-5-6-4
train,3-4
train,3-4
train,1-1-3-5-6-5-6-4
train,5-6-3-5-6-5-6-5-6-4
validation,5-3-6-5-4
test,6-3-5-36-6-5-6-4
train,22-23-3-4
validation,3-4
test,3-4
train,1-1-61-1-1-1-61-3-4
validation,62-63-3-5-6-4
validation,5-17-6-18
train,3-5-6-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-4
train,44-1-44-5-3-6-8-5-8-8-8-6-4
train,8-8-3-5-8-8-6-5-6-4
train,3-35-43-4
test,17-5-6-18
train,5-3-6-5-4
train,6-3-4
validation,17-5-18
train,6-5-6-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-7-7-7-7-7-7-7-7-23-7-7-7-7-7-7-7-7-7-7-7-3-7-7-22-22-4
train,22-22-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-23-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-22-7-22-22-22-22-22-22-22-22-22-40-40-41-7-7-23-22-22-22-40-40-41-22-22-22-22-22-22-22-7-7-7-7-7-23-22-22-22-40-40-41-7-7-7-22-40-40-41-7-7-23-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-7-7-7-7-7-7-7-7-7-7-23-3-5-6-36-4
train,1-3-5-6-4
train,5-8-3-8-8-6-5-26-8-26-6-8-8-5-6-4
validation,3-4
train,17-5-6-5-6-18
train,5-8-6-8-44-5-44-6-3-5-6-4
train,1-22-22-6-7-23-40-40-41-22-22-7-7-7-7-23-3-5-6-5-6-5-6-5-6-4
validation,5-3-4
train,6-5-3-6-5-6-4
train,40-40-41-22-22-22-5-6-7-23-3-5-6-5-6-5-6-5-6-4
validation,17-5-6-18
train,3-5-6-4
train,17-5-6-18
test,22-22-22-22-3-4
train,3-5-6-4
validation,3-4
train,17-5-18
train,22-6-22-7-7-7-7-7-22-3-5-4
train,6-40-40-41-22-22-7-23-3-5-6-4
train,5-17-6-18
train,3-4
train,3-4
train,3-5-6-4
train,3-4
validation,17-5-18
train,7-7-7-6-23-40-40-41-22-22-22-22-22-7-3-5-6-5-6-4
test,5-3-6-5-4
train,6-3-4
train,17-5-18
validation,6-5-3-6-5-4
test,3-6-4
train,0-2-0-2-0-2-3-5-6-4
test,17-18
train,1-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-7-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-7-22-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-5-3-6-5-6-4
train,3-5-6-8-8-8-8-5-4
validation,6-8-8-8-8-8-44-44-8-8-22-22-22-40-40-41-22-22-8-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-8-5-8-6-3-5-4
train,3-4
validation,1-1-1-1-1-1-1-3-5-4
train,6-17-5-6-5-18
validation,6-7-3-5-6-4
train,3-5-6-4
train,3-4
train,3-4
train,15-3-4
test,3-4
validation,15-3-4
train,3-4
train,3-4
train,15-3-4
train,3-4
train,15-3-4
train,15-15-3-4
train,3-4
train,3-4
train,3-4
train,15-5-3-6-4
train,3-4
train,3-4
train,15-3-4
validation,3-4
train,3-4
train,15-15-3-4
train,3-4
train,3-4
train,15-3-4
train,3-5-6-4
train,3-4
train,15-40-40-41-22-22-22-7-23-3-4
train,3-4
test,15-3-4
test,3-4
train,15-3-4
validation,3-4
validation,5-6-3-5-6-5-6-4
train,17-5-6-5-6-5-6-5-18
train,6-5-6-5-6-5-3-6-4
validation,5-6-17-5-6-5-6-5-6-5-18
train,6-5-6-5-6-8-8-8-8-8-8-8-8-8-8-3-5-6-4
test,15-15-40-40-41-22-3-5-6-4
train,15-17-18
validation,3-4
train,36-3-5-6-5-6-4
train,3-4
train,15-0-2-0-2-3-5-0-2-6-4
train,15-0-2-3-5-6-0-24-25-2-4
train,1-3-4
test,17-18
train,0-2-0-2-0-2-0-2-0-2-0-2-3-4
validation,3-5-0-2-0-2-6-4
train,17-18
train,0-2-7-7-23-3-4
train,17-18
train,22-0-2-40-40-41-22-7-40-40-41-22-7-0-2-0-2-3-4
train,22-40-40-41-22-7-7-7-7-3-4
train,17-18
train,7-3-36-4
train,22-40-40-41-7-23-3-4
train,22-40-40-41-3-4
train,3-4
train,22-40-40-41-7-3-4
train,22-40-40-41-7-23-3-4
train,3-4
train,3-4
validation,36-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
train,3-4
train,3-4
train,3-4
validation,3-4
validation,17-18
train,3-36-4
train,3-4
train,22-40-40-41-3-4
train,3-4
test,17-18
train,3-4
train,3-4
train,3-4
train,3-4
train,17-18
train,3-4
train,22-40-40-41-7-23-3-4
train,17-18
test,0-2-3-4
train,17-18
train,3-4
train,22-40-40-41-7-23-3-4
train,3-4
test,23-0-2-3-0-2-5-6-4
train,3-5-6-4
train,17-5-18
test,6-22-3-5-6-36-4
validation,22-40-40-41-7-3-5-6-5-6-5-4
train,6-15-3-5-6-5-4
train,6-3-4
train,22-22-22-22-22-22-22-22-22-22-22-40-40-41-22-22-22-22-22-22-7-7-7-7-7-3-4
validation,3-4
validation,3-5-6-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,22-22-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-7-7-7-7-23-22-22-40-40-41-22-22-22-7-7-7-23-3-5-6-5-6-4
train,3-4
train,3-5-6-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,3-4
test,3-4
train,3-4
train,3-5-6-5-6-4
train,5-6-5-3-6-4
train,17-18
train,40-40-41-7-7-7-7-7-7-7-3-4
train,22-40-40-41-22-22-22-22-22-3-4
train,22-40-40-41-7-23-3-4
train,3-4
train,23-3-4
train,22-40-40-41-22-22-22-22-22-22-22-22-3-4
train,3-4
train,3-4
train,22-40-40-41-22-3-4
train,22-22-40-40-41-7-3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-4
test,36-3-4
train,3-4
train,3-4
validation,5-6-3-5-4
train,6-17-5-18
train,6-22-40-40-41-22-7-40-40-41-22-22-22-22-22-22-22-22-22-22-7-7-7-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-5-6-5-3-4
train,6-3-4
test,3-5-4
train,6-17-5-18
train,6-3-5-6-4
train,3-5-6-5-6-4
train,3-5-6-5-6-4
validation,1-3-5-4
train,6-3-4
train,5-6-8-8-8-8-5-6-3-5-6-4
train,5-3-6-4
train,5-3-6-4
train,17-5-18
train,40-40-41-7-6-7-7-7-3-5-6-4
train,22-40-40-41-7-23-3-36-5-6-4
train,22-40-40-41-5-3-6-5-6-4
train,5-3-4
validation,6-17-5-18
train,6-5-6-7-7-23-40-40-41-22-7-7-7-7-40-40-41-22-22-22-22-22-22-22-22-22-22-22-40-40-41-22-22-22-22-22-22-22-22-22-22-40-40-41-22-22-22-7-23-40-40-41-7-22-40-40-41-3-5-6-4
train,3-5-4
train,6-22-40-40-41-7-7-7-23-3-5-4
validation,6-5-6-3-5-6-4
train,3-5-4
train,6-5-3-6-5-6-4
validation,3-5-6-4
train,3-5-6-4
test,22-40-40-41-7-5-3-6-5-4
train,6-3-4
validation,3-5-6-5-6-5-6-4
train,3-5-6-5-6-5-6-4
train,3-4
validation,3-4
train,17-18
train,7-23-3-4
train,15-3-4
train,23-3-5-4
train,6-5-6-3-5-6-4
train,22-40-40-41-22-22-3-4
train,17-5-18
test,6-7-7-7-7-7-7-7-7-7-7-23-5-3-6-5-6-5-6-5-6-5-4
train,22-40-40-41-6-7-23-3-5-6-4
validation,5-6-22-40-40-41-22-22-22-7-7-7-7-7-7-7-7-3-5-6-4
validation,3-5-6-5-6-4
train,3-36-4
test,3-4
train,5-6-3-5-6-5-6-4
train,17-5-6-18
train,5-6-7-23-40-40-41-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-40-40-41-5-3-4
train,6-5-6-3-5-6-5-4
train,3-6-4
train,5-6-22-40-40-41-7-7-3-4
test,3-4
train,3-4
train,23-3-4
train,3-4
train,22-40-40-41-22-3-4
test,23-3-4
train,3-4
train,3-4
train,3-4
validation,23-22-22-22-22-22-22-3-4
train,3-4
train,23-22-22-22-22-22-22-40-40-41-7-23-3-4
train,3-4
train,3-5-6-4
train,3-4
validation,3-4
train,3-4
train,23-22-40-40-41-22-3-4
test,3-4
train,3-4
train,3-4
train,5-3-6-4
train,3-5-6-4
train,17-5-6-18
train,5-7-6-7-22-40-40-41-22-22-22-22-22-7-7-7-23-40-40-41-22-22-22-22-22-22-5-6-3-5-6-5-4
train,6-3-5-6-5-6-4
test,17-18
train,3-4
train,3-5-4
train,6-5-3-6-4
validation,3-4
train,3-4
train,3-4
train,5-3-36-4
train,23-3-6-4
train,5-6-5-3-6-4
train,3-5-4
train,6-17-5-18
train,6-3-5-6-4
train,3-4
train,23-22-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-5-6-40-40-41-7-7-7-7-7-40-40-41-22-22-22-22-22-22-22-22-22-22-7-7-5-3-6-4
train,3-5-6-5-6-4
validation,3-5-6-5-4
train,6-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-40-40-41-7-23-3-4
train,5-22-22-22-22-22-22-22-22-22-22-22-6-22-22-22-22-22-22-40-40-41-7-7-7-23-5-3-6-5-6-5-6-5-6-5-6-4
validation,3-4
train,3-4
train,17-18
validation,40-40-41-7-40-40-41-3-4
train,17-18
train,3-4
train,3-4
train,3-5-6-5-4
train,6-5-3-6-5-6-5-6-4
train,3-4
train,17-18
train,7-7-7-7-23-40-40-41-3-4
train,3-4
train,22-40-40-41-7-7-7-7-7-7-7-7-7-17-18
train,22-22-22-22-22-22-22-22-3-4
validation,22-40-40-41-22-22-22-7-23-3-4
train,23-23-3-4
train,23-3-4
train,22-40-40-41-22-22-22-22-22-22-22-7-3-4
train,36-17-18
train,3-4
train,17-18
test,3-4
train,23-3-4
train,3-4
train,23-22-3-4
validation,17-18
train,3-4
train,3-4
train,3-23-4
train,23-23-23-3-4
train,3-4
train,3-4
train,3-4
train,17-18
train,22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-3-4
train,22-40-40-41-0-2-0-3-5-2-4
train,6-22-40-40-41-3-4
train,17-18
validation,0-2-0-2-0-22-2-0-2-0-2-5-3-6-0-2-4
validation,17-18
train,63-22-22-63-22-22-22-22-3-5-6-4
validation,1-44-44-63-44-5-6-44-3-5-6-0-4
train,2-5-3-6-5-4
test,6-5-17-6-18
train,5-0-3-2-4
train,6-3-5-6-5-6-5-6-5-6-5-6-4
train,3-5-6-5-6-5-6-5-6-5-6-5-6-4
train,3-5-6-36-5-6-5-6-5-6-5-6-5-6-5-6-5-6-5-6-5-6-5-6-4
train,3-4
train,3-4
train,3-4
train,3-5-6-4
train,3-4
train,3-5-6-5-6-5-6-4
train,3-4
validation,3-4
train,40-40-41-22-22-22-3-4
train,3-5-6-5-6-36-5-6-4
train,3-5-6-4
train,3-5-6-5-6-5-6-5-6-4
train,3-4
train,3-4
train,3-4
train,8-8-8-3-5-4
train,3-8-8-8-6-5-6-4
train,5-3-4
train,6-8-3-8-8-8-5-6-4
train,5-6-8-3-5-8-8-8-6-4
test,17-5-8-8-8-8-6-18
train,5-6-5-3-6-8-5-8-8-8-4
train,6-17-5-8-8-8-8-6-18
train,22-40-40-41-8-8-8-8-8-8-3-5-6-5-4
train,3-6-5-4
validation,3-6-4
test,40-40-41-22-22-1-1-3-4
train,56-1-1-1-1-1-1-17-5-6-5-6-18
train,5-6-3-5-4
train,6-15-5-6-17-5-18
test,6-23-3-5-6-9-9-5-6-5-6-5-6-5-56-6-4
train,15-3-5-6-44-52-52-44-5-44-52-52-44-6-5-44-52-52-44-44-52-52-44-6-4
validation,44-52-52-44-3-44-52-44-52-52-4
validation,3-4
train,3-4
train,44-52-52-44-5-1-1-1-1-3-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-6-4
train,1-5-3-6-9-9-5-6-9-4
train,3-4
test,15-3-36-4
train,15-3-4
train,3-4
train,3-4
train,3-4
train,3-4
validation,15-3-4
train,3-4
train,3-4
train,3-4
train,3-4
train,15-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-3-4
train,3-4
train,3-4
train,3-4
train,15-22-22-22-22-22-22-22-22-22-22-22-22-40-40-41-22-13-23-3-4
test,3-4
train,3-4
test,15-3-4
train,3-4
train,15-3-4
train,15-15-3-4
train,3-4
train,3-4
train,3-4
train,15-3-4
train,3-4
validation,15-3-4
train,3-4
train,1-1-1-1-1-17-5-18
train,6-22-13-23-3-5-4
train,6-40-40-41-22-22-3-5-6-5-6-4
validation,15-5-3-6-36-5-6-4
train,3-4
validation,3-4
train,3-4
test,3-5-6-4
train,15-3-4
train,3-5-6-5-6-4
train,3-4
train,15-3-4
train,15-3-4
train,40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-3-4
train,3-4
train,1-1-3-4
train,17-5-56-6-18
train,1-0-2-1-1-0-2-0-3-2-5-6-4
train,3-4
train,3-4
train,3-0-4
train,3-2-5-6-5-6-5-6-44-52-52-44-5-6-5-6-5-6-4
train,36-3-5-6-4
train,3-5-4
test,6-15-23-3-5-6-44-52-44-44-52-52-44-44-44-5-4
train,6-3-5-6-0-2-44-52-52-44-44-52-52-44-44-52-52-44-44-52-52-44-5-4
train,6-3-4
train,3-5-6-5-6-5-6-5-6-5-6-4
train,3-4
validation,3-5-4
train,3-6-5-4
train,6-3-5-6-4
train,3-4
train,3-4
test,5-3-6-4
train,40-40-41-22-22-22-22-40-40-41-23-3-4
train,3-4
train,3-0-2-5-6-5-6-4
train,3-4
train,15-40-40-41-23-3-9-9-9-9-9-4
train,3-4
validation,3-4
train,3-4
train,17-18
test,17-18
train,5-3-6-5-6-4
train,0-2-0-2-0-2-5-3-6-36-5-6-5-6-4
train,5-3-6-5-6-4
train,44-52-52-44-3-5-6-4
train,0-2-44-52-52-44-44-52-52-44-3-5-6-4
train,0-2-3-1-1-1-1-4
train,0-2-0-1-2-5-3-6-4
train,9-5-3-6-4
train,0-2-1-5-6-3-5-6-4
train,5-3-6-14-4
train,43-35-28-5-3-4
train,6-14-3-14-5-6-4
train,57-65-38-39-66
test,38-57-38-39-7-57-65-66
train,1-57-65-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-3-4
train,57-65-66
train,0-2-0-2-0-2-1-5-6-5-6-3-5-6-4
train,14-5-3-9-6-4
validation,14-5-3-6-4
train,14-5-3-6-4
train,5-3-6-4
test,65-57-38-39-66
train,38-57-38-39-65-57-66
train,6-9-5-6-1-1-5-6-9-27-16-9-3-5-6-5-6-4
validation,8-8-14-8-3-8-4
train,5-6-14-5-6-3-5-6-4
train,8-3-8-8-8-8-8-8-8-4
train,3-5-6-4
train,3-5-6-4
train,5-6-3-4
test,3-5-6-4
train,14-5-3-6-27-27-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,9-1-57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,22-22-22-40-40-41-22-22-22-22-22-22-40-40-41-40-40-41-5-6-5-6-0-2-0-2-0-2-5-6-1-5-3-6-4
train,8-8-8-8-5-3-6-4
test,14-5-3-6-4
train,28-43-35-43-65-57-38-39-66
train,38-57-38-39-57-65-66
test,14-1-1-3-5-6-4
train,57-65-38-39-66
test,38-57-38-39-57-65-66
validation,1-40-40-41-22-22-22-22-22-3-5-6-4
train,14-3-5-6-5-6-4
train,14-5-3-6-4
train,14-5-3-6-4
train,57-65-38-39-38-38-39-38-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-22-22-22-22-22-22-22-7-22-40-40-41-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-22-57-65-66
test,1-1-3-5-6-5-6-4
train,5-3-6-4
train,14-5-3-6-4
train,8-8-8-8-8-8-8-8-8-8-5-6-8-8-8-8-3-5-6-4
train,65-57-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
train,1-5-3-6-4
train,0-2-0-2-0-2-0-2-14-5-3-6-4
train,14-3-5-6-4
test,14-5-3-6-4
train,9-27-3-9-4
train,35-57-65-38-39-38-38-39-66
train,38-57-38-39-57-65-66
train,6-27-16-1-0-2-0-2-5-6-8-8-8-8-8-8-8-8-3-8-8-8-8-8-8-8-8-27-9-4
train,5-6-5-3-6-5-6-9-27-16-4
train,14-5-3-6-4
train,9-16-9-27-9-9-57-65-38-39-38-38-39-38-38-39-38-38-39-66
train,38-57-38-39-38-39-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
train,1-8-8-3-5-6-5-6-4
train,3-4
train,3-5-6-4
train,9-9-3-5-6-4
train,14-5-3-6-4
train,8-8-3-5-6-4
test,57-65-38-39-66
validation,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-57-65-66
train,1-1-14-14-14-5-3-9-6-4
train,8-8-3-8-8-8-8-8-8-4
train,5-3-6-4
train,24-25-28-28-29-65-57-38-39-66
train,38-57-38-39-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-7-65-57-66
train,6-14-1-5-3-9-6-4
train,57-65-38-39-66
test,38-57-38-3-4
train,38-39-40-40-41-22-7-22-22-40-40-41-7-7-7-57-65-66
train,1-1-1-1-1-1-1-1-1-8-8-8-8-8-8-8-8-1-1-1-1-12-12-12-12-5-11-11-8-8-6-5-6-5-6-5-6-5-6-5-3-11-11-6-4
train,5-6-57-65-38-39-66
validation,38-57-38-39-65-57-66
train,1-1-1-3-5-6-4
train,1-1-1-3-4
