type,sequence
train,1-24-0-25-2-0-2-5-6-23-40-40-41-22-22-22-22-22-22-22-22-3-5-11-11-11-11-11-4
test,11-0-11-2-0-3-2-4
train,11-6-3-4
train,1-1-3-5-6-4
train,3-5-6-5-6-4
test,17-18
train,22-22-22-22-7-7-3-4
test,5-6-1-1-1-5-6-5-3-6-4
train,1-17-5-11-11-6-18
train,1-17-5-11-18
train,11-6-5-11-11-11-11-6-40-40-41-7-7-7-7-7-7-7-7-7-3-5-11-11-11-11-6-5-11-4
test,11-11-11-6-9-9-3-5-11-11-6-4
train,5-11-11-3-6-4
validation,42-42-5-3-11-11-6-4
train,1-1-1-17-5-11-11-11-11-11-11-11-11-6-18
train,41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-5-41-41-41-41-41-41-41-41-11-41-41-41-41-41-41-11-41-41-41-41-41-11-41-41-41-11-41-41-41-41-41-41-11-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-11-41-41-41-6-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-5-11-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-11-41-41-41-41-41-41-6-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-41-3-4
validation,41-41-41-41-41-5-11-3-11-11-11-11-11-6-4
train,17-18
train,1-0-2-3-5-11-11-4
train,17-11-11-11-11-11-11-6-18
train,1-3-5-0-2-6-4
train,5-11-17-11-6-18
train,7-7-7-22-13-23-7-7-7-7-7-7-7-7-7-5-11-11-6-1-3-5-11-11-11-11-11-11-11-11-6-4
train,3-4
train,5-11-17-11-11-11-6-5-18
test,1-17-5-11-11-6-18
train,5-11-11-6-3-5-11-11-11-11-6-4
test,17-5-11-11-11-11-11-11-6-18
